Review,Rating
enak kuacinya,5
pengiriman cepat packing bagus sesuai pesanan belum di coba terima kasih,5
pengemasan luar biasa baik untuk rasa menurut saya lebih dominan ke rasa original atw rasa asli kuacinya mau varian rasa apapun soalnya rasanya kurang dominan dan kurang sedikit rasa asin juga yang agak kerasa itu varian rasa rumput laut untuk yang lain nya menurut saya kurang mendominasi rasanya lebih ke original sih,4
terimakasih min,5
udah order untuk kesekian kali jos,5
enaak dan guriih kacangnya,5
respon cepat harga terjangkau,5
mantappppp recommended empingnya enakkkkk,5
mantapppp puas kali gurih bnget entr mau pesan lg kesukaan,5
kondisi baik kurir baik mdh2an enak terimakasih,5
rekomended,5
enak gurih dan renyah,5
pengiriman cepat packing rapi kurir baik next order lg trm ksh seller dan tokopedia,5
cepat n fresh,4
excellent,5
tumben rada asin sedikit dr biasanya hehe,4
lagi kepengen banget makan keripik yg pedes aaaa pengiriman juga cepet rasanya enak pol buat dijadiin snack makasihh,5
pesen ini mulu pedesnya naujubillah tapi nagih walopun bikin mencret dan bikin kapok temen yg sok sokan nyoba,5
keripik nya sudah sampe semua komplit enak dan langganan sejati succes keripik riki,5
pedes mantap,5
sudah terjamin pedasnya dan gurihnya,5
pedesnya pas cuma gak berasa singkong nya saran aja kalau pembelian 5 bungkus ada bonus biar makin lariss,5
mantul selalu beli yang ini meski panas perut ge,5
enak pedes bgt asin dan gurihnya pas pengirimannya juga aman,5
baso acinya serius enak banget teksturnya baso kaca khad garut banget isian ayamnya juga enak,5
terima kasih barangnya sudah sampai,3
enak bgt benerannagih kuah nya pedes pokoknya manteppppp,5
cepat sampainya,5
mantapp kualitass rasa lumayan pengiriman cepatt terimakasii toko nyaaaa,4
barangnya sudah sampai barangnya sampai dalam keadaan baik,4
pilus cikur alot dan liat pengiriman lama,3
paketnya sudah sampe makasi udah dikasi 1pcs bonus baso aci nya,5
baso acinya enak cuma isi ayamnya gak kerasa kecil banget sih tapi untuk porsinya banyak banget,4
pengiriman sangat cepat baru pesan kemarin 22 04 hari ini sudah sampai produk sampai dengan selamat ga ada kurang dan ga ada rusak,5
pengiriman sangat cepat barang premium d,5
alhamdulillah barang sudah sampai mantaps kali rasanya pedas,5
klo belum habis ga bs berhenti makan ginian cuma ada yg terbuka kemasannya untung masi renyah,5
mantap bgt pedesnya gak pelit bumbunya puas bgt belanja disini,5
kangen rasa terbayarkan,5
kenceng,5
saya beli dari pagi pagi sekali dikirim nya malam hari luar biasa patut dapat bintang 1,1
kacang telurnya garing dan enak respon seller cepat kl bisa packing dibungkus bubble wrap biar makin aman,5
kacang telur medan datang sesuai order rasa kacang enak fresh crispy seller responsif packing aman pake bubble wrap pengiriman cepat recommended seller,5
enaaaakk renyah,5
terimakasih barang sudah sampai dan sesuai dengan ekspektasi,5
ok terima kasih ya,5
barang sampai dg baik,5
kacangnya enak mantap,5
produk packing pengiriman sip semua ueennaakkk kacangnya,5
gercep bgt sellernya thank you yah,5
mantap renyah next order lagi,5
pesanan cepat diproses packing rapi produk bagus sesuai deskripsi,5
mantap packingan rapi barang sesua deskripsi dan enak cepat sampai lagi seler responsif pokoknya rekomended seller,5
rencana buat lebaran ternyata nggak nyampe lebaran udh habis ter makan,5
belum sy cb smg enak tdk tengik sukses sellu,5
packaging perlu diperbaiki,4
biasa aja rasanya tapi penjualnya baik ramah semoga berkah ya,4
terimakasih seller udah gag sabar buat nyobain,5
proses cepat order jam 16 30 langsung dikirim dan sampai dalam waktu 1 jam tq seller,5
aman semua,5
sukaaaa,5
untuk rasanya enak dan harga terjangkau tapi pengirimannya kurang bagus soalnya nyasar,4
pake sameday jadi cepat sellernya ramah produknya oke sesuai lengkap good seller,5
baso aci nya enak tapi sayang admin nya kurang responsif huhuu maaf ya,4
cuankie nya alot ga garing yah lumayan rasanya,4
ok,3
segel rusak karena packing tipis sekali,1
enak lah pokoknya,5
akhir ya yg ditunggu sampe juga thank you,5
barang diterima dgn baik dan cepat terimakasih,5
mantap barang sesuai pesanan,5
rasanya belum tau karena sampainya pagi dan masih puasa tapi proteksinya perlu diacungi jempol semoga original bukan kw,5
mantab gan,5
barang asli jdi beli dsini ajah gx usah jauhw kemalang thanks seller,5
seller ramah dan baik packaging rapi aman dipakai bubble wrap recommended seller,5
kripiknya dibungkus bubble satu persatu d dimskkan dus donk thanks seller,5
packing aman pake wrap seller fast response mantap betul,5
sekarang keripiknya tebal2 dan lebih keras jadi butuh tenaga ekstra untuk gigitnya beda sama yg dulu btw packingannya super rapi masing2 item dibungkus dengan bubble recommended seller,3
produk bagus fast respon terima kasih,5
belum dicoba sih tapi semoga enak nyesel cuma beli 100gr dikit bangett,3
enak kacangnya empuk lumayan oke juga dengan harga yang masih terjangkau,5
agak melempem ya,4
cepat sampai rasa enak memuaskan,5
enak packaging juga rapih terima kasih,5
rasa enak ga tengik,5
ada yg gosongnyaa,4
enak mede nyaaa,5
repeay order sekian kalinya kardusnya basah kena hujan untung kacangnya dibungkus dgn bubble wrap,5
mudah2an enk harus dipercepat pengirimanya,4
yang tiba varian original,4
maaf ya barangnya tidak diterima,3
mantapppp sesuai deskripsi,5
ternyata rasa jagung bakar sama nori kurang klop rasanya unik,3
rasa enak pengiriman cepat sayang pas mau digoreng patah2 ikannya pdhl sdh dari frezer,4
packing dengan bubble dus sangat rapi sehingga kondisi bandeng aman semoga tidak terlalu asin cukup pake free ongkir bisa lo seller responsif,5
rekomended pokoknya,5
