,Review,Rating
0,maaantap,5
1,Enak & segar,5
2,maknyus,5
3,"Dari berat 500 gram yg remuk 59 gram.
Entah dari awal packing atau expedisi.
Untuk masukan aja, tlg ada item dos packing, jadi barang tetap aman jika pengiriman jarak jauh.",4
4,"enak banget, fresh dan renyah!",5
5,Top recommended... Jadi langganan terus,5
6,"Barang sesuai deskripsi, rasa enak, packing ok (tebel), dan pengiriman cepat. Thanks.",5
7,murah enak fast respon,5
8,puas,5
9,"barang sesuai permintaan, bagus dibungkus nya/ diterima dg baik.",5
10,enak kuacinya,5
11,mantap,5
12,"Pengiriman cepat, packing bagus, sesuai pesanan. Belum di coba. Terima kasih",5
13,"Pengemasan luar biasa baik, untuk rasa menurut saya lebih dominan ke rasa original atw rasa asli kuacinya mau varian rasa apapun. Soalnya rasanya kurang dominan dan kurang sedikit rasa asin juga, yang agak kerasa itu varian rasa rumput laut. Untuk yang lain nya menurut saya kurang mendominasi rasanya, lebih ke original sih.",4
14,Puas banget,5
15,terimakasih min 😃,5
16,udah order untuk kesekian kali jos,5
17,,5
18,,5
19,good,5
20,Enaak dan guriih kacangnya👍,5
21,respon cepat....harga terjangkau,5
22,mantappppp recommended empingnya enakkkkk,5
23,mantapppp puas kali. gurih bnget. entr mau pesan lg. kesukaan,5
24,kondisi baik...kurir baik..mdh2an enak...terimakasih...,5
25,rekomended,5
26,"enak, gurih, dan renyah",5
27,"pengiriman cepat ,packing rapi kurir baik next order lg trm ksh seller dan tokopedia👍👍👍👍👍",5
28,cepat n Fresh,4
29,EXCELLENT!!!!,5
30,Tumben rada asin sedikit dr biasanya hehe,4
31,"lagi kepengen banget makan keripik yg pedes"" aaaa pengiriman juga cepet. rasanya enak pol buat dijadiin snack. makasihh",5
32,pesen ini mulu. pedesnya naujubillah. tapi nagih. walopun bikin mencret dan bikin kapok temen yg sok sokan nyoba,5
33,mantap,5
34,keripik nya sudah sampe semua komplit enak dan langganan sejati 😁 succes keripik riki,5
35,pedes mantap..,5
36,sudah terjamin pedasnya dan gurihnya,5
