Review,Rating,Sentiment
enak kuacinya,5,positive
pengiriman cepat packing bagus sesuai pesanan belum di coba terima kasih,5,positive
pengemasan luar biasa baik untuk rasa menurut saya lebih dominan ke rasa original atw rasa asli kuacinya mau varian rasa apapun soalnya rasanya kurang dominan dan kurang sedikit rasa asin juga yang agak kerasa itu varian rasa rumput laut untuk yang lain nya menurut saya kurang mendominasi rasanya lebih ke original sih,4,negative
terimakasih min,5,neutral
udah order untuk kesekian kali jos,5,neutral
enaak dan guriih kacangnya,5,positive
respon cepat harga terjangkau,5,positive
mantappppp recommended empingnya enakkkkk,5,positive
mantapppp puas kali gurih bnget entr mau pesan lg kesukaan,5,positive
kondisi baik kurir baik mdh2an enak terimakasih,5,positive
rekomended,5,neutral
enak gurih dan renyah,5,positive
pengiriman cepat packing rapi kurir baik next order lg trm ksh seller dan tokopedia,5,positive
cepat n fresh,4,positive
excellent,5,neutral
tumben rada asin sedikit dr biasanya hehe,4,negative
lagi kepengen banget makan keripik yg pedes aaaa pengiriman juga cepet rasanya enak pol buat dijadiin snack makasihh,5,positive
pesen ini mulu pedesnya naujubillah tapi nagih walopun bikin mencret dan bikin kapok temen yg sok sokan nyoba,5,negative
keripik nya sudah sampe semua komplit enak dan langganan sejati succes keripik riki,5,positive
pedes mantap,5,positive
sudah terjamin pedasnya dan gurihnya,5,positive
pedesnya pas cuma gak berasa singkong nya saran aja kalau pembelian 5 bungkus ada bonus biar makin lariss,5,negative
mantul selalu beli yang ini meski panas perut ge,5,positive
enak pedes bgt asin dan gurihnya pas pengirimannya juga aman,5,positive
baso acinya serius enak banget teksturnya baso kaca khad garut banget isian ayamnya juga enak,5,positive
terima kasih barangnya sudah sampai,3,neutral
enak bgt benerannagih kuah nya pedes pokoknya manteppppp,5,positive
cepat sampainya,5,positive
mantapp kualitass rasa lumayan pengiriman cepatt terimakasii toko nyaaaa,4,positive
barangnya sudah sampai barangnya sampai dalam keadaan baik,4,neutral
pilus cikur alot dan liat pengiriman lama,3,negative
paketnya sudah sampe makasi udah dikasi 1pcs bonus baso aci nya,5,neutral
baso acinya enak cuma isi ayamnya gak kerasa kecil banget sih tapi untuk porsinya banyak banget,4,negative
pengiriman sangat cepat baru pesan kemarin 22 04 hari ini sudah sampai produk sampai dengan selamat ga ada kurang dan ga ada rusak,5,neutral
pengiriman sangat cepat barang premium d,5,positive
alhamdulillah barang sudah sampai mantaps kali rasanya pedas,5,neutral
klo belum habis ga bs berhenti makan ginian cuma ada yg terbuka kemasannya untung masi renyah,5,negative
mantap bgt pedesnya gak pelit bumbunya puas bgt belanja disini,5,positive
kangen rasa terbayarkan,5,neutral
kenceng,5,neutral
saya beli dari pagi pagi sekali dikirim nya malam hari luar biasa patut dapat bintang 1,1,neutral
