;urls
0;https://www.tokopedia.com/legitsnack/mix-nuts-kacang-campur-500-gr?src=topads
1;https://www.tokopedia.com/jasminestarmall/promo-kuaci-kupas-mola-original?src=topads
2;https://www.tokopedia.com/reddragonsnack/kacang-bali-kacang-kapri-cap-tari-bali-meman-murah-rd-snack-jakarta-cap-tari-bali?src=topads
3;https://www.tokopedia.com/ponchan2/keripik-setan-keripik-super-pedas-riki-asli?whid=0
4;https://www.tokopedia.com/lisdhacollection/baso-aci-isi-daging-ayam-garut?whid=0
5;https://www.tokopedia.com/indosutera/makaroni-ngehe-asin-lvl-0-tanpacabe?whid=0
6;https://www.tokopedia.com/seted-snack/kacang-telur-medan-satelit-palapa-1kg?src=topads
7;https://www.tokopedia.com/molagranolapusat/almond-roasted-1-kg-almond-panggang-utuh-kacang-almond?whid=0
8;https://www.tokopedia.com/nayra123/boci-baso-aci?whid=0
9;https://www.tokopedia.com/foodist/baso-aci-garut-boci-mantap-jiwa-boci-original?whid=0
10;https://www.tokopedia.com/dj-s-baby-shop/keripik-singkong-lumba-lumba-manis-500-gr-manis?whid=0
11;https://www.tokopedia.com/nourishindonesia/roasted-cashew-pieces-kacang-mede-belah-2-panggang-100-gr?whid=0
12;https://www.tokopedia.com/mamasukaofficial/mamasuka-rumput-laut-panggang-jagung-bakar-isi-2
13;https://www.tokopedia.com/gratiascatering/bandeng-presto-duri-lunak-dengan-sambal-spesial-dalam-plastik-vacuum?src=topads
14;https://www.tokopedia.com/amutjakarta/party-of-4-western-rosemary-roast-chicken-2-rbp-2-nasi-j-microwave-safe?src=topads
15;https://www.tokopedia.com/momomaru/baked-salmon-kani-mentai?whid=0
16;https://www.tokopedia.com/samwonshop/korean-kimchi-samwon?whid=0
17;https://www.tokopedia.com/luckytakoyaki/katsuobushi-cakalang-asap-1kg-1?whid=0
18;https://www.tokopedia.com/lumpiasmg-jkt/lumpia-basah-semarang-besar?whid=0
19;https://www.tokopedia.com/eidellovadurian/pancake-durian?whid=0
20;https://www.tokopedia.com/samwonshop/kimchi-sawi-fresh-1-kg-samwon-makanan-korea?whid=0
21;https://www.tokopedia.com/parisdijakarta/ayam-afrika-family-isi-5-potong?whid=0
22;https://www.tokopedia.com/bearlybaker/mix-bearly-brownies-mini-box-6pcs?whid=0
23;https://www.tokopedia.com/doughlab/the-og-10-pcs?whid=0
24;https://www.tokopedia.com/bumburujakguyur/ayam-ungkep-jakarta-ayam-ungkep-bumbu-kuning-ayam-ungkep-laos-dada-10?whid=0
25;https://www.tokopedia.com/izishop-sby/kering-kentang-khas-bu-rudy?src=topads
26;https://www.tokopedia.com/panenrayaoleh2/srundeng-kelapa-serundeng-solo-siap-makan-208a?whid=1185510
27;https://www.tokopedia.com/kimchiya/kimchi-sawi-fresh-kim-chi-ya-250gr-halal-murah-enak-bergizi-original-250gr?whid=10763400
28;https://www.tokopedia.com/summerjoy/almond-panggang-150-gr-tanpa-kulit?whid=4177191
29;https://www.tokopedia.com/izishop-sby/kering-kentang-khas-bu-rudy?whid=2032707
30;https://www.tokopedia.com/bkenzstyle/arum-manis-rambut-nenek-arbanat-sweety-75gr-green-tea?src=topads
31;https://www.tokopedia.com/tys-shop/homemade-traditional-korean-fresh-kimchi-800-gram-kim-chi-korea?whid=266196
32;https://www.tokopedia.com/burudysurabaya/teri-oven-bu-rudy?whid=1904280
33;https://www.tokopedia.com/burudysurabaya/teri-kacang-balado?whid=1904280
34;https://www.tokopedia.com/mujia-online/murah-otak-otak-bandeng-enak-dijamin-khas-gresik-medium?whid=2307279
35;https://www.tokopedia.com/hossanajaya21/dendeng-sapi-bawang-putih-tomat-250-gram?whid=4215685
36;https://www.tokopedia.com/bkenzstyle/teri-nasi-kriuk-aceh-teri-medan-oven-crispy-krispi-siap-makan-120gr-bbq?src=topads
